req_text_1,req_text_2,consistency_label
cloud bursting employ cloud bursting handle peak load,cloud not bursting employ cloud bursting handle peak load,0
utilize caching reduce load primary data store,system link back home case no result found,1
conduct regular data backup ensure quick restoration case system failure,conduct regular not data backup ensure quick restoration case system failure,0
system shall include mechanism rollback update cause failure ensuring system stability,system shall not include mechanism rollback update cause failure ensuring system stability,0
design intuitive user interface easy understand,system shall capability perform self diagnostics identify address potential fault impact service,1
provide user clear path troubleshooting issue,not provide user clear path troubleshooting issue,0
ensure interactive element labeled accessible name,current day indicated calendar,1
system shall capable running diagnostic test automatically identify resolve potential issue,system shall not capable running diagnostic test automatically identify resolve potential issue,0
provide option user import export data,wcs system shall use appropriate nomenclature terminology defined corporate community grant organization interface report undergo usability test ccr user,1
system shall interface campusconnect central server,system shall not interface campusconnect central server,0
system shall able perform rolling update ensure uninterrupted service,system shall not able perform rolling update ensure uninterrupted service,0
product installation upgrade shall handled middleware technology team within established launch time frame,regularly backup data ensure quick recovery,1
system shall offer configurable threshold fault detection adapt varying operational need,system shall not offer configurable threshold fault detection adapt varying operational need,0
facebook ã â â likeã â â interface according facebook guideline,facebook ã â â likeã â â not interface according facebook guideline,0
unit receive input generic answer generic answer construction unit,accessibility follow accessibility guideline ensure inclusivity,1
data integrity script run weekly basis verify integrity database,data integrity script run weekly basis not verify integrity database,0
system shall allow configuration multiple backup server handle load failovers,system shall not allow configuration multiple backup server handle load failovers,0
interface shall easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard,interface shall not easy use 90% user not able successfully use system generate report first use interface not adhere ibm usability standard,0
implement remote monitoring capability manage address issue different location,implement remote monitoring capability not manage address issue different location,0
responsiveness ensure design responsive across different device,responsiveness ensure not design responsive across different device,0
product shall support high level customization accommodate various use case,case user able browse profile user user see user user name profile photo usersã â â item,1
system shall easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,system shall not easy use caller supervisor caller supervisor must able accomplish system task within 2 minute,0
system shall maintain data processing speed maximum 15 000 record per minute,system shall not maintain data processing speed minimum 15 000 record per minute,0
sub apps launcher added main app qualified programmer,sub not apps launcher added main app qualified programmer,0
system must support scheduling regular maintenance task,possible ã â å likeã â â certain topic,1
user click thumbnail image siteâ page application replace siteâ image medium sized clicked image,ease useã â â ¹ new user make less 3 mistake 5 minute 5 minute use,1
administrator add poiã â â poi belong certain building floor room number,administrator add poiã â â poi not belong certain building floor room number,0
allow user customize dashboard home screen,deny user customize dashboard home screen,0
result displayed map view user friendly easy understand selecting pin map take one click,product shall compliant accessibility standard wcag 2 1,1
product shall display grid within circle view periscope,product shall not display grid within circle view periscope,0
rreports must easy generate eports must generated within one button click exported within one button click selecting report,movie shall encoded streamed via window medium player 9 0,1
physical access server data center must restricted authorized personnel,implement comprehensive logging performance monitoring,1
product must support system resource monitoring alert,product must not support system resource monitoring alert,0
ensure compliance industry standard,ensure compliance not industry standard,0
question not understood api system send text containing example question text api response,allow user customize interface suit preference,1
tooltips provide tooltips additional information hover,tooltips not provide tooltips additional information hover,0
user shall able reach add drop trade player page one click team owner page,training provide adequate training maintainer,1
information link prominent evident usable link selecting information link take one click,information link not prominent not evident usable link selecting information link not take one click,0
scale resource geographically based user location,scale resource not geographically based user location,0
apply load balancing technique across multiple server distribute traffic evenly,product shall support customizable shortcut frequently used feature action,1
add restaurant information given administrator logged administrator add restaurant information information added restaurant,integrate learning module directly app,1
program administrator nursing staff member people shall access clinical site detail,program administrator nursing staff member people shall not access clinical site detail,0
mobile application search result map view desc search result viewed map map relevant closest restaurant according userã â â position shown specific pin represent specific restaurant location pin information link maximally 100 result displayed map view default zoom map view include button selected display different filtering option filtering menu,mobile application search result map view desc search result viewed map map relevant closest restaurant according userã â â position shown specific pin represent specific restaurant location pin not information link not maximally 100 result displayed map view not default zoom map view not exclude button selected not display different filtering option filtering menu,0
delete restaurant type given administrator logged administrator deletes restaurant type deleted restaurant type removed list restaurant type,delete restaurant type given administrator logged administrator deletes restaurant type deleted restaurant type removed not list restaurant type,0
design application logical flow common task process,product shall compatible major third party software hardware integration,1
system must include regular security testing part development lifecycle,112k connection faster system response time operation must no 3 second 90% time,1
product shall established process managing implementing user feedback,product shall not established process managing implementing user feedback,0
new stylistic map geographically correct,new stylistic not map geographically correct,0
allow user customize color palette,system designed modular component ease update replacement,1
product shall include change log tracking modification,possible navigate poi campus building campus,1
implement scalable monitoring tool,implement not scalable monitoring tool,0
possible view element search result described ucar201 ucar202 ucar203 map view,possible view element not search result described ucar201 ucar202 ucar203 map view,0
legacy system support provide support legacy system transition phase,splitpay not affect data stored outside server nor affect application installed userã â â phone cannot cause damage phone internal component potential safety concern associated application applies virtually handset apps splitpay not used operating vehicle situation userã â â attention must focused elsewhere,1
product function alongside server software operating system java runtime installed,case no image available application return no image flag,1
user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,user create account security gist security creating account user system scale user want create account desired user name occupied user asked choose different user name meter measurement obtained 1000 hour usage testing must not 100% time,0
ensure interactive element labeled accessible name,product shall support various deployment environment including cloud premise,1
possible search person name,possible not search person name,0
full news report shown choosing corresponding news title,application shall match color schema set forth department homeland security,1
filling mandatory field given restaurant owner want fill mandatory field form restaurant owner provides average price address e mail address phone number restaurant name restaurant owner filled mandatory field form,system shall offer fault tolerance feature configurable administrator match organization specific requirement,1
product shall expected operate within maximum maintenance budget minimum 2 year,product shall not expected operate within minimum maintenance budget minimum 2 year,0
no safety requirement application normal hazard mobile device hazard user using device not driving,no safety requirement not application normal hazard mobile device hazard user using device not driving,0
service contract establish service contract provider ensure high availability,implement concurrency control mechanism efficient processing,1
system shall include mechanism maintain functionality partial system degradation,system shall not include mechanism maintain functionality partial system degradation,0
ensure system component documented comprehensively updated regularly,possible view element search result described ucar201 ucar202 ucar203 map view,1
system shall capable performing full system reboot without impacting active user session,system shall operate within window xp professional operating system,1
service contract establish service contract provider ensure high availability,system dependability gist fault tolerance system scale system loses connection internet gps device system get strange input user informed meter measurement obtained 1000 hour usage testing must 100% time,1
replicate data across multiple geographic location,replicate data across multiple not geographic location,0
product shall able handle 10 000 concurrent user within 2 year initial launch,delete restaurant information given administrator logged information restaurant exists administrator deletes information information restaurant deleted,1
provide comprehensive onboarding process new user,not provide comprehensive onboarding process new user,0
scalable infrastructure use scalable infrastructure handle peak load,ensure application used effectively mouse touch input,1
ensure clear logical navigation path,system shall use symbol word naturally understandable user community,1
system shall refresh display every 60 second,system shall not refresh display every 60 second,0
siteâ page contain link walking direction tour,siteâ page contain link not walking direction tour,0
implement interactive animation user engagement,implement not interactive animation user engagement,0
promotional update website take day update,interactive element clearly distinguish interactive element non interactive one,1
system shall include mechanism rollback update cause failure ensuring system stability,system shall not exclude mechanism rollback update cause failure ensuring system stability,0
no safety requirement application normal hazard mobile device hazard user using device not driving,product shall designed modular upgrade feature enhancement,1
shot marked miss product shall simulate sound shot missing target,shot marked miss product shall not simulate sound shot missing target,0
authentication mechanism must secure including multi factor authentication privileged account,authentication mechanism must not insecure including multi factor authentication privileged account,0
search described requirement ucar203 result displayed set poiã â â match search input,search described requirement ucar203 result not displayed set poiã â â match search input,0
product shall able handle large number game simultaneously,splitpay not affect data stored outside server nor affect application installed userã â â phone cannot cause damage phone internal component potential safety concern associated application applies virtually handset apps splitpay not used operating vehicle situation userã â â attention must focused elsewhere,1
product shall interface choice part system provides feed recycled part data,system shall let customer register website unlimited movie subscriber user 10 minute,1
product shall use standard navigation menu familiar web user,setting menu twitter user save username combination password regarding twitter,1
case no image available application return no image flag,system shall ensure update patch not introduce new defect,1
product shall tested compatibility different network configuration,product shall not tested compatibility different network configuration,0
system shall able operate within business office environment typical nursing department depaul university,system shall not able operate within business office environment typical nursing department depaul university,0
maintenance release offered customer year release shall take no longer 5 minute 80% customer base install,user select topic search result list,1
develop automated rollback procedure revert change case failure issue,develop automated rollback procedure revert change not case failure issue,0
main menu contains launcher map app 3 1 3,main menu contains not launcher map app 3 1 3,0
10000 user able use system time,10000 not user able use system time,0
system shall support recovery failure without requiring manual intervention standard fault,product shall allow user undo action within last 5 minute,1
dispute application shall available 24x7x365 exception following scheduled maintenance window monday saturday 3,dispute application shall not available 24x7x365 exception following scheduled maintenance window monday saturday 3,0
main menu contains launcher facebook app 3 1 9,result displayed list view user friendly easy understand selecting element result list take one click,1
system must disaster recovery plan includes procedure restoring security setting data,standard web security measure implemented,1
regularly perform performance testing identify address scaling issue,regularly perform performance testing identify not address scaling issue,0
documentation update ensure documentation updated every change,system shall support easy migration data environment,1
establish guideline code refactoring,define monitor slos ensure performance load,1
design application logical flow common task process,design application logical flow common not task process,0
use learning widget quick tip trick,system shall offer tool administrator simulate fault test recovery procedure,1
editing information given restaurant owner logged information exists restaurant owner edits information information edited,editing information given restaurant owner logged information exists restaurant owner edits information information not edited,0
ensure navigation element consistently placed easily reachable,response time generating report shall within 8 second 150 000 record,1
system shall ensure user session preserved failovers,application shall support 300 concurrent system integration,1
brand alignment align design brand identity,brand alignment not align design brand identity,0
application shall handle 150 000 record single report generation request,application shall not handle 150 000 record single report generation request,0
backup recovery implement reliable backup recovery procedure,select spanish preferred language given restaurant owner want select preferred language restaurant owner selects spanish new language web portal show text spanish,1
project admins need authorized use admin interface manage site project,project admins need authorized use not admin interface manage site project,0
ensure data consistency across operation,no lead evaluation complete time period longer 25 second 97% lead processed,1
conduct regular audit learning content ensure relevance,conduct regular audit learning content not ensure relevance,0
select english preferred language given restaurant owner want select preferred language restaurant owner selects english new language web portal show text english,case no image available application return no image flag,1
user interface must gui based,product shall able handle 10 000 concurrent user within 2 year initial launch,1
system shall provide visual confirmation successful completion user action checkmark success message,ensure clear logical navigation path,1
product shall retain customer buying preference information,product shall not retain customer buying preference information,0
implement load shedding mechanism manage traffic spike without affecting system availability,allow user customize interface suit preference,1
provide dark mode option,system availability gist availability system used scale average system availability not considering network failing meter measurement obtained 1000 hour usage testing must 98% time plan 99% time wish 100% time,1
product shall designed ease use intuitive user interface,implement continuous code quality check part development pipeline maintain high standard,1
system shall perform regular testing failover recovery process ensure effectiveness,design interactive form better user input,1
website must interface cybersource api process credit card transaction,product shall run existing hardware environment,1
restaurant owner login account security gist security account scale restaurant owner try log web portal non existing account restaurant owner not logged restaurant owner notified log failure meter 1000 attempt log non existing user account testing must 100% time,restaurant owner login account security gist security account scale restaurant owner try log web portal non existing account restaurant owner not logged restaurant owner not notified log failure meter 1000 attempt log non existing user account testing must not 100% time,0
possible navigate poi campus building campus,possible not navigate poi campus building campus,0
mobile application profile page desc mobile application user profile page profile page user edit information includes password e mail address phone number user also able choose language mobile application set different language choice swedish english spanish french,mobile application profile page desc mobile application user profile page profile page user edit information includes password e mail address phone number user also not able choose language mobile application set different language choice swedish english spanish french,0
product must make use web application server technology open source example include apache web server tomcat jboss application server,product must not make use web application server technology open source example exclude apache web server tomcat jboss application server,0
system must support horizontal scaling add node,system must not support horizontal scaling add node,0
system shall provide mean manually initiating failover case automated failover failure,system shall not provide mean manually initiating failover case automated failover failure,0
product shall audit capability product shall store message minimum one year audit transaction tracking purpose,ensure system handle partial failure without impacting overall availability,1
case user edit item already put system user add remove picture change price detail item,case user edit item already put system user add remove picture change price not detail item,0
deploy high availability network appliance,use scalable storage solution like distributed file system,1
update page link site nearby,system shall offer real time performance metric monitor effectiveness fault tolerance mechanism,1
product shall support efficient data processing minimal latency,implement concurrency control mechanism efficient processing,1
category selected product thumbnail image appear selection,category selected product thumbnail image not appear selection,0
no lead evaluation complete time period longer 25 second 97% lead processed,no lead evaluation complete time period longer 25 not second 97% lead processed,0
use learning widget quick tip trick,use learning widget quick not tip trick,0
main menu contains launcher student handbook app dutch language selected 3 1 8,system shall provide detailed log fault occurrence recovery action audit analysis,1
use cross region replication high availability,use cross region replication not high availability,0
system able display no result found case no search result found,system not able display no result found case no search result found,0
user click link walking tour application respond walking tour page,system must follow secure coding practice regularly test application vulnerability,1
design layout adapt seamlessly various screen size orientation ensure consistent look feel across device e g mobile tablet desktop,design layout adapt seamlessly various screen size orientation ensure not consistent look feel across device e g mobile tablet desktop,0
information search method encyclopedia app restricted service provided mediawiki tu e encyclopedia,information search method encyclopedia app not restricted service provided mediawiki tu e encyclopedia,0
system shall implement automated failover procedure critical component,system shall not implement automated failover procedure critical component,0
product shall include automated system health check,product shall not include automated system health check,0
system must prevent unauthorized privilege escalation proper access control monitoring,product shall include mechanism tracking system change update,1
modal design modal unobtrusive yet informative,service level monitoring monitor service level ensure compliance availability requirement,1
system shall implement multi pathing technique avoid single point failure data path,system shall not implement multi pathing technique avoid single point failure data path,0
dispute application shall interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database,dispute application shall not interface statement database statement database provides transaction detail dispute system transaction detail must obtained statement database,0
case user approve exchange offered another user clicking ã â å approveã â â button,case user approve exchange offered another user clicking ã â å approveã not â â button,0
product shall able display calendar date time according user locale 90% survey respondent target market country find date time formatting product correct,product shall not able display calendar date time according user locale 90% survey respondent target market country find date time formatting product correct,0
system shall process real time data stream maximum latency 1 5 second,system shall not process real time data stream maximum latency 1 5 second,0
system able return search result desending order form list link site,system able return search result desending order form not list link site,0
system must comply relevant security standard regulation gdpr hipaa pci ds,system must not comply relevant security standard regulation gdpr hipaa pci ds,0
possible ã â å likeã â â certain topic,website shall prevent data corrupted incorrect data entered,1
implement snapshot based recovery mechanism fast data restoration,backup restore regularly backup data ensure quick restoration,1
system development process must include security consideration design deployment,possible search event date,1
system link back home case no result found,system not link back home case no result found,0
visual hierarchy establish clear visual hierarchy guide user attention,visual hierarchy establish clear visual hierarchy not guide user attention,0
document scalability guideline best practice,system shall perform search maximum latency 4 second,1
sub apps launcher main app deleted qualified programmer,business continuity planning develop business continuity plan maintain operation major disruption,1
restaurant owner create account security gist security creating account restaurant owner system scale restaurant owner want create account desired user name occupied restaurant owner asked choose different user name meter measurement obtained 1000 hour usage testing must 100% time,restaurant owner create account security gist security creating account restaurant owner system scale restaurant owner want create account desired user name occupied restaurant owner not asked choose different user name meter measurement obtained 1000 hour usage testing must not 100% time,0
hard drive space gist hard drive space scale applicationã â â need hard drive space meter mb must no 20 mb plan no 15 mb wish no 10 mb mb defined megabyte,delete restaurant type given administrator logged administrator deletes restaurant type deleted restaurant type removed list restaurant type,1
designated phone number user send text ã â â ¹,include feature user provide feedback easily,1
user click link map site home page application respond campus map historical site placed,user click link map site home page application respond campus map historical not site placed,0
administrator unlink poi certain building floor room,administrator unlink poi certain not building floor room,0
product must include tool analyzing system performance trend,system shall ensure user session preserved failovers,1
database management system oracle db2 mysql hsql need integrated product,database management system not oracle db2 mysql hsql need integrated product,0
system must include automated error handling resolution mechanism,design system distributed system support large scale operation,1
ensure training material accessible user,integrate learning module directly app,1
apis must secured authentication authorization mechanism prevent unauthorized access,apis must not secured authentication authorization mechanism prevent unauthorized access,0
implement effective log management practice,implement effective log not management practice,0
case user buy item added cart credit item available buying credit,case user buy item added cart credit item unavailable buying credit,0
program administrator nursing staff member people shall access clinical site detail,product shall offer feature increase text size better readability,1
unit generate generic answer sentence using input example ã â å time building close ã â â becomes ã â å building close closetime ã â â unit output generic answer sentence described,use scalable storage solution like distributed file system,1
add new restaurant type given administrator logged administrator creates new restaurant type new restaurant type added list restaurant type,system shall offer automated reconciliation data system restart failover,1
provide customizable error reporting feature adapt different operational environment user need,ensure system reliable minimal downtime,1
design system modular component facilitate update replacement without affecting entire system,product shall translated foreign language target market country language future release emerging target market shall take no 5 day configure product market language,1
product shall available use 24 hour per day 365 day per year,product shall not available use 24 hour per day 365 day per year,0
system shall employ load balancing distribute user request evenly across redundant server,system shall capable recovering database corruption without loss critical data,1
system must support batch processing large data set,system must not support batch processing large data set,0
possible navigate building campus another building campus,possible navigate building not campus another building campus,0
system shall designed handle simultaneous failure 20% component without service interruption,ensure medium element video audio accessible control,1
select spanish preferred language given restaurant owner want select preferred language restaurant owner selects spanish new language web portal show text spanish,implement automated code formatting tool,1
error logging implement robust error logging easier debugging,mobile application selecting information link desc user able select information link included result item link direct user information page includes picture restaurant restaurant name address phone number e mail address type food average price restaurant description menu name description price different dish,1
system shall easy learn caller supervisor caller supervisor shall learn use system within 10 minute,build search engine based search form site available,1
use ai recommend learning resource,system shall maintain compatibility major web browser,1
product shall security product shall provide authentication authorization,encryption data privacy sensitive must persisted server order basic functionality,1
system shall provide mechanism ensure data consistency across replicated database failovers,product shall provide asynchronous messaging enable parallel processing reduce overhead communication,1
izogn administrator must able update category listing website within 2 minute,project admins need authorized use admin interface manage site project,1
product shall process message within 2 second product shall maximum message processing time 2 second,first title news article first line shown,1
product shall generate cma report acceptable time,possible search book certain word phrase,1
search form added home page,search form not added home page,0
route planned navigator shown map view,system shall allow configuration multiple backup server handle load failovers,1
product shall available normal business hour long user access client pc system available 99% time first six month operation,product shall not available normal business hour long user access client pc system available 99% time first six month operation,0
system shall provide redundancy critical data storage subsystem,totally unstructured information ai library used programmatically extract store information possible,1
administrator add vertex path used route planner,administrator add vertex path used not route planner,0
product shall support efficient data processing minimal latency,set real time alert failover event,1
continuously optimize lower latency,functionality not require network connectivity system component require authentication radford university network connectivity function long system maintained university available,1
user select topic search result described requirement ucar703,dependency management manage dependency prevent single point failure,1
product shall security product shall provide authentication authorization,use multiple geographic data center provide redundancy geographic failover,1
sub apps launcher added main app qualified programmer,system shall response time 2 second 95% user interaction,1
case user edit item already put system user add remove picture change price detail item,product shall use large easily readable font textual content,1
system shall achieve 95% uptime,system designed way algorithm four main unit able easily swapped,1
product shall support detailed logging auditing user activity,product shall not support detailed logging auditing user activity,0
system shall perform full backup within 20 minute,system shall not perform full backup within 20 minute,0
system must comply relevant security standard regulation gdpr hipaa pci ds,ensure design element e g typography color scheme imagery reflect current design trend visually appealing enhance user satisfaction,1
implement feature accommodate different user skill level,implement not feature accommodate different user skill level,0
select french preferred language given administrator want select preferred language administrator selects french new language web portal show text french,select french preferred language given administrator want select preferred language administrator selects french new language web portal show not text french,0
implement sharded database distribute load,system link back home case no result found,1
system shall capable handling multiple concurrent user session,system shall provide error message clear suggest corrective action,1
set real time alert failover event,system shall expected manage nursing program curriculum class clinical scheduling minimum 5 year,1
establish enforce standard code documentation ensure clarity consistency,allow real time update design,1
system shall provide error message clear suggest corrective action,administrator remove vertex path used route planner,1
implement database sharding distribute data across multiple server,implement database sharding distribute data not across multiple server,0
adding information mandatory field given restaurant owner filled mandatory field form restaurant owner submits form information restaurant added,adding information mandatory field given restaurant owner filled mandatory field form restaurant owner submits form information restaurant not added,0
language support support multiple language proper localization,case user rate comment user traded,1
application extendable mean skilled java android programmer able easily add new sub application insapption add launcher main application,use micro batching process data small manageable chunk,1
based selection product category listed outerwear soft shell fleece knit wovens active wear safety accessory team wear e c collection,based selection product category listed outerwear soft shell fleece knit wovens active wear safety accessory team wear not e c collection,0
user click link application respond page,user click link application not respond page,0
optimize use cpu memory resource,must able interface html browser,1
application memory usage gist amount operate system memory occupied application scale mb meter observation done performance log testing must no 20 mb plan no 16 mb wish no 10 mb operate system defined mobile operate system application running mb defined megabyte,system shall automatically scale resource handle increased load partial failure,1
system shall implement robust data backup strategy ensure rapid restoration failure,system shall not implement robust data backup strategy ensure rapid restoration failure,0
design system parallel processing handle large task,design system parallel not processing handle large task,0
case user notifies user shipment item started,case user notifies user shipment not item started,0
utilize continuous data protection technology ensure minimal data loss,utilize continuous data protection not technology ensure minimal data loss,0
siteâ page contain link walking direction tour,user click link map site home page application respond campus map historical site placed,1
system shall ensure critical business function continue operating system upgrade maintenance activity,backup restore regularly backup data ensure quick restoration,1
create learning challenge motivate user,create not learning challenge motivate user,0
website shall make user aware information practice collecting data via privacy policy accessible page website,website shall not make user aware information practice collecting data via privacy policy accessible page website,0
ensure data consistency across operation,ensure data consistency not across operation,0
main menu contains launcher twitter app 3 1 10,application assumes user whoever allows access android handset said google email address required verify identity user upon opening app since not password protected no method authenticate userã â â identity could pose thread user set paypal functionality however transaction involving real currency must authorized confirmed becoming final paypal api provides security check needed ensure no fraudulent transaction occur,1
product shall provide comprehensive api documentation developer,system shall able perform rolling update ensure uninterrupted service,1
product shall provide asynchronous messaging enable parallel processing reduce overhead communication,system shall support load balancing distribute traffic evenly prevent overload failure,1
design touch interaction adequate spacing touch target,design touch interaction adequate not spacing touch target,0
product shall ensure supervisor advertise empty time slot product must ensure supervisor allowed access advertise empty time slot,product shall not ensure supervisor advertise empty time slot product must not ensure supervisor allowed access advertise empty time slot,0
student handbook app started searched item shown title screen,student handbook app started searched item not shown title screen,0
provide option user save manage setting preference,not provide option user save manage setting preference,0
full news report shown choosing corresponding news title,team owner need use username password order authenticated reach team owner page,1
possible ã â å tweetã â â certain news item,regard intended number user amsterdam pilot projected load scenario intention system able serve 20 000 query day large part 4 peak traffic hour,1
user select download catalogue pdf viewed mobile device,not user select download catalogue pdf viewed mobile device,0
theme option provide theme option e g dark mode,implement proactive error handling prevent downtime,1
system shall capability restart service automatically failure,system must capable generating operational audit trail,1
include user friendly default value form field,user required input data cell phone keypad,1
product shall defined process handling security patch update,track celebrate user learning milestone,1
design decentralized network architecture,usage result map view desc result displayed map view user friendly easy understand selecting pin map take one click,1
mysql database used store information required answer question,mysql database used store not information required answer question,0
system shall support easy migration data environment,maximum wait time user navigating one screen another within dispute application shall no 5 second,1
product shall able installed specified environment within 1 working day,product shall not able installed specified environment within 1 working day,0
main menu contains launcher agenda app 3 1 5,system shall undergo usability testing least 20 user release,1
response shall fast enough avoid interrupting user flow thought 90% task shall complete within 5 second 98% task shall complete within 8 second,response shall not fast enough avoid interrupting user flow thought 90% task shall not complete within 5 second 98% task shall not complete within 8 second,0
system shall provide mechanism ensure data consistency across replicated database failovers,system shall not provide mechanism ensure data consistency across replicated database failovers,0
system shall basic data integrity checking reduce possibility incorrect invalid data introduced,system shall not basic data integrity checking reduce possibility incorrect invalid data introduced,0
include progress indicator long running task process,include progress indicator not long running task process,0
system shall ensure user find access commonly used feature within 2 click,ensure form validation provide clear actionable error message,1
product require collaboration database management system dbms dbms may located machine product separate machine residing computer network,interactive element clearly distinguish interactive element non interactive one,1
delete existing restaurant owner given administrator logged administrator deletes existing restaurant owner restaurant owner deleted restaurant information deleted,delete existing restaurant owner given administrator logged administrator not deletes existing restaurant owner restaurant owner deleted restaurant information deleted,0
utilize caching reduce load primary data store,utilize caching reduce load primary not data store,0
offensive player take shot product shall simulate sound ship sea,offensive player take shot product shall not simulate sound ship sea,0
product shall undergo least 8 hour performance testing release,system shall capable handling multiple concurrent user session,1
system shall offer configurable threshold fault detection adapt varying operational need,ensure efficient execution task,1
ensure navigation element consistently placed easily reachable,system shall support 75 000 database query per hour,1
system shall user satisfaction rating least 4 5 5,system shall not user satisfaction rating least 4 5 5,0
regular review user access permission must conducted ensure compliance security policy,movie shall encoded 56k 256k stream,1
coding standard adhere industry standard coding guideline,coding standard adhere industry standard not coding guideline,0
user able access application campus anytime mobile device without need internet connection,application map view satellite style,1
system shall implement checkpoint restore point facilitate rapid recovery failure,average time server respond question testing set less equal 2 second,1
administrator remove building,ensure system redundancy avoid single point failure,1
image graphic use high quality image graphic,product shall comply iso 9001 quality management standard,1
user location information deleted nightly via cron job,implement network redundancy prevent single point failure network connectivity,1
access sensitive data must logged log must reviewed regularly suspicious activity,access sensitive data must not logged log must not reviewed regularly suspicious activity,0
cloud bursting employ cloud bursting handle peak load,perform impact analysis proposed change understand effect system implementation,1
unit receive input generic answer generic answer construction unit,unit receive not input generic answer generic answer construction unit,0
use version control system documentation track change maintain historical record,ensure application accessible user disability,1
user interface shall support customizable theme enhance readability accessibility,number mistake noted student shall decreased 50% first year,1
authorized personnel access customer record database,authorized personnel access not customer record database,0
employ hybrid cloud strategy better scalability,employ not hybrid cloud strategy better scalability,0
include search function provides relevant result quickly,include search function provides relevant not result quickly,0
title news item available news rss feed shown title screen,implement horizontal scaling database,1
implement end user notification planned maintenance unexpected downtime,implement end user not notification planned maintenance unexpected downtime,0
upon successful login user select following catalogue option spring 2013 winter 2013,system must ensure data integrity checksum validation mechanism,1
include image gallery showcasing content,chat window contain question answer current session scroll bar message canã â â fit screen,1
system must use valid ssl tl certificate secure communication,system must not use valid ssl tl certificate insecure communication,0
product shall support gesture touchscreen device pinch zoom swiping,product shall not support gesture touchscreen device pinch zoom swiping,0
system must provide support custom script automation tool,product shall available use 24 hour per day 365 day per year,1
system shall offer fault tolerance feature configurable administrator match organization specific requirement,implement hover effect interactive element,1
system shall pas integration test success rate 95% higher,system shall not pas integration test success rate 95% higher,0
interface shall easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard,interface shall not easy use 90% user able successfully use system generate report first use interface adhere ibm usability standard,0
